id,user_id,item_id,label
1,1,1,2
2,1,2,4
3,1,3,3.5
4,1,4,3
5,1,5,4
6,1,6,3.5
7,1,7,3.5
8,1,8,3
9,1,9,2.5
10,1,10,4
11,1,11,4
12,1,12,4
13,3,14,0.5
14,3,15,1
15,3,16,4
16,3,17,3
17,3,18,4
18,3,19,4
19,3,20,2.5
20,3,21,1.5
21,3,22,2
22,3,23,3
23,3,24,4
24,3,25,1.5
25,3,26,1
26,3,27,4
27,3,28,3
28,3,29,3
29,3,30,4
30,3,31,3
31,3,32,2
32,3,33,2.5
33,3,34,3
34,3,35,4
35,3,36,2
36,3,37,2
37,3,38,2
38,3,39,4
39,3,40,4
40,3,41,4
41,3,42,0.5
42,3,43,4
43,3,44,4
44,3,45,2.5
45,3,46,1
46,3,47,2.5
47,3,48,4
48,3,49,3
49,3,50,4
50,3,51,0.5
51,3,52,4
52,3,53,4
53,3,54,4
54,3,55,2.5
55,3,56,2.5
56,3,57,0.5
57,3,58,4
58,3,59,4
59,3,60,4
60,3,61,0.5
61,3,62,4
62,3,63,1.5
63,3,64,4
64,3,65,0.5
65,3,66,4
66,3,67,4
67,3,6,0.5
68,3,68,4
69,3,69,3
70,3,70,2.5
71,3,71,4
72,3,72,2.5
73,3,73,0.5
74,3,74,2.5
75,3,75,3.5
76,3,76,0.5
77,3,77,3.5
78,3,78,4
79,3,79,2
80,3,80,2.5
81,3,81,2
82,3,82,3.5
83,3,83,2.5
84,3,84,3.5
85,3,85,3
86,3,86,3.5
87,3,87,3.5
88,3,88,2.5
89,3,89,0.5
90,3,90,3.5
91,3,91,1
92,3,92,2.5
93,3,93,1
94,3,94,4
95,3,95,3
96,3,96,4
97,3,97,4
98,3,98,2.5
99,3,99,3
100,3,100,0.5
101,3,101,3
102,3,102,4
103,3,103,4
104,3,104,2
105,3,105,3
106,3,106,3
107,3,107,4
108,3,108,0.5
109,3,109,3
110,3,110,4
111,3,111,4
112,3,112,3
113,3,113,1
114,3,114,4
115,3,115,4
116,3,116,1
117,3,117,4
118,3,118,4
119,3,119,2
120,3,120,2.5
121,3,121,2
122,3,122,2
123,3,123,3.5
124,3,124,3.5
125,3,125,2.5
126,3,126,4
127,3,127,0.5
128,3,128,0.5
129,3,129,4
130,3,130,2.5
131,3,131,2.5
132,3,132,4
133,3,133,3.5
134,3,134,2.5
135,3,135,3.5
136,3,136,4
137,3,137,1
138,3,138,1.5
139,3,139,3
140,3,140,2.5
141,3,141,4
142,3,142,4
143,3,143,1.5
144,3,144,4
145,3,145,4
146,3,146,1.5
147,3,147,4
148,3,148,3.5
149,3,149,3.5
150,3,150,2
151,3,10,3.5
152,3,151,4
153,3,152,3.5
154,3,153,2
155,3,154,1.5
156,3,155,4
157,3,156,1.5
158,3,157,1.5
159,3,158,4
160,3,159,1.5
161,3,160,3
162,3,161,4
163,3,162,4
164,3,163,3
165,3,164,3.5
166,3,165,3
167,3,166,4
168,3,167,4
169,3,168,4
170,3,169,3.5
171,3,170,2
172,3,171,1
173,3,172,0.5
174,3,173,2
175,3,174,4
176,3,175,1
177,3,176,3.5
178,3,177,2.5
179,3,178,4
180,3,179,2.5
181,3,180,2.5
182,3,181,4
