Country,Life Expectancy (years),Physicians per 1000 people,Televisions per 1000 people
Country_1,69.38830791879141,6.64670503255793,202
Country_2,76.35727945853436,9.104905483490981,535
Country_3,65.95180945534567,5.502389944439348,960
Country_4,67.8488954368018,4.092406670055688,370
Country_5,66.04121811794639,0.9415382898120228,206
Country_6,77.70686054988325,8.922606943927274,171
Country_7,80.76520036808908,4.47351657485608,800
Country_8,74.24603500057007,6.069618580162533,120
Country_9,78.77340118691903,8.811814473853989,714
Country_10,66.36889862889294,5.455204641860983,221
Country_11,68.02865171827675,4.610659476245041,566
Country_12,71.78362269500651,7.83934595508749,314
Country_13,61.01472212823506,5.921474135127839,430
Country_14,77.21573352953764,6.172211209446801,558
Country_15,61.3501037403618,1.9536782590564785,187
Country_16,71.02166045730381,7.411830414485171,472
Country_17,72.55520244175891,5.751176135983291,199
Country_18,67.07614024221509,2.256821240553752,971
Country_19,70.33650228192171,5.97018822322655,763
Country_20,61.73688896630791,0.8749486521765011,230
Country_21,83.098837846624,9.68395040502599,761
Country_22,63.791612827023215,2.7962904000364786,408
Country_23,77.9588397716904,8.223585531436871,869
Country_24,58.451954715579646,3.3740889037626935,443
Country_25,66.03430785174413,6.120451421941439,591
Country_26,69.37918586396403,3.175743486781003,513
Country_27,67.5206676917548,6.99423044379564,905
Country_28,70.22941276793746,4.529362516185496,485
Country_29,71.13612427384547,5.935559092415419,291
Country_30,68.23792121371484,5.03012876315799,376
Country_31,60.39502700922674,2.2686704270326885,260
Country_32,76.56312752928902,6.008213719381068,559
Country_33,76.63650582993618,3.993525028668504,413
Country_34,75.68221198503142,7.090625586015221,121
Country_35,70.66901434576137,4.528280383698646,352
Country_36,66.2812912145992,4.846472181943336,847
Country_37,70.75121969836985,8.365852928745873,956
Country_38,79.32785265400094,9.7632735890159,660
Country_39,68.27538758305795,6.572067911424165,574
Country_40,59.98838896872735,4.425719805153229,158
Country_41,72.51858374840333,4.2506773432877125,610
Country_42,70.98612599998485,3.36264602936284,781
Country_43,63.2048534010203,3.749523632892887,575
Country_44,70.12538263238035,4.452780512992063,799
Country_45,82.86677320693843,8.9285059339898,882
Country_46,70.23624675189531,4.605556658292953,289
Country_47,59.13001475271392,2.547893991603795,786
Country_48,69.00219400231603,5.0833305342507655,662
Country_49,77.34656080325422,5.356256851522129,975
Country_50,71.3776750574274,5.071270919700912,666
Country_51,75.89442540625485,6.599382445170415,343
Country_52,71.9841681422817,5.138011022718067,931
Country_53,68.79735317869805,6.537454984294658,604
Country_54,63.77440048735593,3.43931329188457,230
Country_55,78.8172435378396,8.561458876290445,584
Country_56,75.09427805347639,5.50495957668717,918
Country_57,77.10040063621757,5.800437940814076,746
Country_58,62.57142470090582,3.430976212373395,120
Country_59,74.05291063845155,5.943653982532792,940
Country_60,78.5394807852761,6.302130113340608,266
Country_61,60.38551741325952,2.66046313234982,373
Country_62,70.79736932544824,1.6818168232246866,487
Country_63,79.3693682311588,5.587332047218931,700
Country_64,81.17035240428616,4.022460353088935,415
Country_65,72.19435308069289,5.519842938271458,113
Country_66,66.01797909771977,2.41792785820377,341
Country_67,67.8929482880559,1.8789881712346586,876
Country_68,74.8157712172514,5.413378926002154,445
Country_69,74.23269926115061,4.300432478086296,664
Country_70,65.47736781772481,0.7786009576996431,997
Country_71,74.84208572724073,7.686197636215459,439
Country_72,70.87935733213249,2.3846858636324852,191
Country_73,74.9370290599781,10.146649904220865,466
Country_74,67.53319476807258,3.751966542222843,554
Country_75,79.42492035275299,5.803121136251997,527
Country_76,70.33656355094715,8.293898020774371,608
Country_77,72.53035742632949,7.958867855657649,875
Country_78,81.303282080294,8.972272812453765,134
Country_79,65.87725491065935,1.9538475222392937,305
Country_80,61.08141097168979,2.728269004985506,180
Country_81,68.82301908272542,5.451994548188059,661
Country_82,67.45507943833915,6.679494875795428,971
Country_83,74.85751522408431,4.977545113240724,487
Country_84,62.168617068793786,1.7240119285732223,101
Country_85,80.94709218966236,5.993156317929598,489
Country_86,69.62849566726396,4.611497223531931,665
Country_87,68.07634264716215,4.587522082088267,205
Country_88,59.30408952229878,0.4440991643788852,871
Country_89,71.96893764195113,6.594968408956629,921
Country_90,71.13492171681085,5.290408120570916,576
Country_91,89.74269610944745,8.590329113277926,802
Country_92,68.00767106337851,4.850984706937655,501
Country_93,70.73359321821954,6.132680261038045,829
Country_94,73.65524193283694,6.663636352210526,655
Country_95,68.46672629707653,1.5076768826776177,261
Country_96,73.36187698104247,10.233399893203186,301
Country_97,70.55229413285777,4.138415224154766,369
Country_98,67.89114052846412,5.989133204284969,962
Country_99,75.32869147255136,6.281164013898303,915
Country_100,64.27206377623654,3.370431744019405,370
Country_101,65.86740962700398,8.693960662895206,555
Country_102,72.91170909085515,5.531910538708865,561
Country_103,70.95183330410501,4.573054726185332,826
Country_104,67.65863030715661,5.277015924776885,351
Country_105,69.86528949372108,6.528504397218047,801
Country_106,63.48632903380054,5.0215963296194,395
Country_107,77.39321934922731,6.76385982076648,824
Country_108,67.67159035646308,1.6302557220645215,819
Country_109,62.61286561481459,3.5040600203470196,848
Country_110,58.74512644306848,0.7223993703813694,437
Country_111,77.67158702167696,8.994016313685892,978
Country_112,89.29029491591747,8.967984255369869,152
Country_113,75.2320730080766,6.25323213506597,891
Country_114,61.232450141305975,2.974763858173937,316
Country_115,81.07841463632583,9.779756544436648,863
Country_116,60.69888438428274,3.7911710437365755,287
Country_117,72.7371230419602,4.573585746189671,479
Country_118,79.01587059064532,5.319066811461445,592
Country_119,80.20502219349567,5.903031884037939,140
Country_120,76.24967792418897,6.287605203408637,256
Country_121,69.81878477055716,6.367923274948902,114
Country_122,62.91739487601375,4.710951829292191,912
Country_123,65.6713785901813,6.336201903513425,164
Country_124,55.21208381452457,4.621584681008645,956
Country_125,75.78649256252848,6.158606873744441,938
Country_126,71.4749895102011,5.99458355566155,620
Country_127,77.59746999545811,6.525694581596242,443
